ID;canonicalsmiles;xlogp;polararea
196228;CC(C)CC(C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O)NC(C(C)CC(=O)C(C(C)C)NC(=O)C(C)O)C(=O)N;-1.800;258000
16760606;CC(C)CC(C(CC(=O)OC)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.300;212000
49796466;CCOC(=O)CC(C(CCCCN)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O.CC(=O)O;NULL;197000
91928989;CCOC(=O)CC(C(CCCC[NH3+])NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;2.000;162000
53787314;CC(C)CCCCCCCCCCCC(CC(=O)NCC(=O)NC(CO)C(=O)O)OC(=O)CCCCCCCCCCCC(C)C;11.100;142000
145865062;CC(C)CCCCCCCCCCCC(CC(=O)NCC(=O)NC(CO)C(=O)[O-])OC(=O)CCCCCCCCCCCC(C)C;11.800;145000
49796464;CCOC(=O)CC(C(CCCN)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O.CC(=O)O;NULL;197000
91928990;CCOC(=O)CC(C(CCC[NH3+])NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;1.600;162000
1991;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C)O;1.700;223000
86574037;CC(C)CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)OC(CC(=O)N1)CCCCCCCCC(C)O)CC(C)C)CC(C)C)CC(C)C)C(C)C)CC(=O)O)CC(C)C;8.200;288000
88665450;CC(C)CC(C(CC(=O)O)O)NC(=O)C(CC(C)C)N;-1.300;113000
129716927;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)N;-2.600;113000
129716935;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C(C)C)N;-1.700;113000
134816625;CC(C)CC(C(CC(=O)NC(C)C(=O)O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C)C;2.400;174000
5462227;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.000;223000
12831406;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)N)O;-0.800;220000
86736800;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O.C(CC(C(=O)O)N)CN=C(N)N;NULL;351000
24916841;CC(C)CC(C(CC(=O)[O-])O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.600;226000
6420001;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.000;223000
394943;CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)NCC(=O)NC(C)C(=O)NC(C(C)O)C(=O)NC(CCCCN)C(=O)O)NC(=O)C(C)N;-2.700;342000
6604384;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.000;223000
129716694;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O.Cl;NULL;223000
13384503;CC(C)CC(C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)OC)O)O)N;0.400;151000
86736802;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O.C(CC(=O)O)C(C(=O)O)N;NULL;324000
88666410;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C(C)C)NC(=O)C;0.900;116000
13384501;CC(C)CC(C(CC(=O)OC)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)OC(C)(C)C)O;2.000;163000
88665994;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)C;-0.100;116000
13752778;CC(C)CC(C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)OC)O)O)N.C(=O)(C(F)(F)F)O;NULL;188000
134825618;CCC(C)(C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(CC(=O)OCC)O)N;2.500;160000
444339;CCOC(=O)CC(C(CCCCN)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;2.000;160000
9831660;CCCCCCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;6.100;204000
13040981;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.000;223000
14557511;CCOC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.600;134000
44286331;CCOC(=O)CC(C(CCCN)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;1.600;160000
44314019;CCCCCCC1C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C;3.700;212000
